City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,cherskiy,68.75,161.3,245.4,93,30,2.15,RU,1680477090
142,naron,43.5167,-8.1528,283.62,78,39,2.87,ES,1680477090
143,saint-augustin,51.226,-58.6502,272.36,97,100,1.98,CA,1680477091
144,nikolskoye,59.7035,30.7861,271.09,96,100,5.39,RU,1680477092
145,fatehabad,29.5167,75.45,292.54,67,18,2.61,IN,1680477092
146,bardiyah,31.7561,25.0865,292.49,33,10,7.01,LY,1680477092
147,sao filipe,14.8961,-24.4956,298.01,60,0,3.23,CV,1680477092
148,yellowknife,62.456,-114.3525,265.23,80,100,1.97,CA,1680476975
149,nizhniy chir,48.3597,43.0865,280.27,76,66,2.02,RU,1680477093
150,toila,59.4236,27.5025,271.48,85,37,9.65,EE,1680477094
151,iquira,2.6487,-75.6346,294.37,83,91,1.52,CO,1680477094
152,verkhoyansk,67.5447,133.385,263.57,84,100,5.29,RU,1680477094
153,alice springs,-23.7,133.8833,292.71,62,70,5.66,AU,1680477095
154,muzhi,65.3667,64.6667,266.85,80,7,5.37,RU,1680477095
155,sari,36.5633,53.0601,280.93,79,76,2.49,IR,1680477096
156,batagay-alyta,67.8006,130.4114,257.24,77,100,2.61,RU,1680477096
157,farafangana,-22.8167,47.8333,295.72,91,84,1.2,MG,1680477096
158,mehamn,71.0357,27.8492,270.1,85,79,6.44,NO,1680477097
159,shimoda,34.6667,138.95,284.87,69,97,8.64,JP,1680477097
160,airai,-8.9266,125.4092,290.02,87,60,0.78,TL,1680477097
161,longyearbyen,78.2186,15.6401,265.06,93,100,0.51,SJ,1680477098
162,havoysund,70.9963,24.6622,272.28,78,99,5.06,NO,1680477098
163,faanui,-16.4833,-151.75,301.45,69,100,3.48,PF,1680477098
164,lasa,46.6166,10.7002,277.24,94,61,2.81,IT,1680477099
165,victoria,22.2855,114.1577,294.93,91,95,0.45,HK,1680476909
166,xinzhi,36.4989,111.7047,287.54,82,100,1.68,CN,1680477099
167,mbandaka,0.0487,18.2603,296.35,83,35,1.39,CD,1680477099
168,khorixas,-20.3667,14.9667,292.78,44,42,1.62,NA,1680477101
169,amalapuram,16.5833,82.0167,298.4,90,83,1.45,IN,1680477101
170,manggar,-2.8833,108.2667,298.17,84,100,1.25,ID,1680477101
171,tchibanga,-2.85,11.0333,295.37,97,75,0.3,GA,1680477101
172,san patricio,28.017,-97.5169,303.81,60,100,8.02,US,1680477102
173,eldorado,-23.7869,-54.2836,294.94,79,0,1.22,BR,1680477102
174,sharjah,25.3573,55.4033,295.14,60,40,5.14,AE,1680477102
175,ovalle,-30.5983,-71.2003,299.16,34,2,2.06,CL,1680476952
176,pucallpa,-8.3791,-74.5539,301.17,74,40,2.06,PE,1680476967
177,bathsheba,13.2167,-59.5167,299.49,73,40,9.77,BB,1680477103
178,beeville,28.4008,-97.7483,306.09,54,40,7.72,US,1680477103
179,grand gaube,-20.0064,57.6608,299.47,77,93,0.89,MU,1680477104
180,bafoulabe,13.8065,-10.8321,305.86,7,87,1.01,ML,1680476839
181,husavik,66.0449,-17.3389,274.26,82,100,3.27,IS,1680477105
182,amga,60.8953,131.9608,258.18,95,90,1.06,RU,1680477105
183,saldanha,-33.0117,17.9442,290.16,92,67,4.3,ZA,1680477106
184,salina cruz,16.1667,-95.2,304.68,52,0,6.57,MX,1680477032
185,weligama,5.9667,80.4167,297.26,90,13,1.4,LK,1680477107
186,baykit,61.67,96.37,261.12,99,99,1.22,RU,1680477108
187,waipawa,-41.4122,175.5153,285.19,88,97,4.43,NZ,1680477108
188,itarema,-2.9248,-39.9167,297.51,88,100,1.71,BR,1680477047
189,raudeberg,61.9875,5.1352,278.52,74,93,6.58,NO,1680477109
190,makokou,0.5738,12.8642,295.55,86,68,0.64,GA,1680477110
191,diamantino,-14.4086,-56.4461,297.09,85,42,0.81,BR,1680477110
192,ocean city,39.2776,-74.5746,284.82,33,8,2.68,US,1680477110
193,miri,4.4148,114.0089,296.72,92,93,1.98,MY,1680477110
194,geraldton,-28.7667,114.6,291.38,88,75,2.57,AU,1680477111
195,souillac,-20.5167,57.5167,297.95,87,82,3.91,MU,1680477111
196,iqaluit,63.7506,-68.5145,258.61,83,100,2.68,CA,1680477112
197,nadlac,46.1667,20.75,282.25,90,96,4.9,RO,1680477112
198,juneau,58.3019,-134.4197,279.15,89,100,3.6,US,1680477112
199,saint-pierre,-21.3393,55.4781,297.97,78,100,2.57,RE,1680477113
200,vila velha,-20.3297,-40.2925,298.68,71,0,4.63,BR,1680477113
201,los llanos de aridane,28.6585,-17.9182,291.55,74,40,6.17,ES,1680477113
202,sukabumi,-6.9181,106.9267,293.07,97,92,0.66,ID,1680477113
203,garbolovo,60.3413,30.4955,269.61,90,100,5.84,RU,1680477114
204,srednekolymsk,67.45,153.6833,253.09,86,26,1.98,RU,1680477114
205,warrington,53.3925,-2.5802,279.7,76,20,4.63,GB,1680477115
206,te anau,-45.4167,167.7167,284.92,61,32,0.94,NZ,1680477115
207,bom conselho,-9.1697,-36.6797,294.99,82,85,3.31,BR,1680476875
208,rio do sul,-27.2142,-49.6431,290.03,85,0,2.38,BR,1680477116
209,khatanga,71.9667,102.5,259.9,96,100,4.36,RU,1680477116
210,hami,42.8,93.45,274.83,26,47,7.27,CN,1680476868
211,savannah bight,16.45,-85.85,299.69,78,20,10.53,HN,1680477117
212,visnes,59.3556,5.2242,278.27,87,100,1.54,NO,1680477117
213,tautira,-17.7333,-149.15,301.39,71,89,3.71,PF,1680477118
214,khomeyn,33.6423,50.0789,276.46,52,0,2.67,IR,1680477118
215,gambela,8.25,34.5833,299.49,34,15,1.85,ET,1680477119
216,mackay,-21.15,149.2,298.53,84,83,5.43,AU,1680477119
217,kuzedeyevo,53.3308,87.2019,266.5,85,100,0.67,RU,1680477120
218,luganville,-15.5333,167.1667,302.52,73,66,3.31,VU,1680477120
219,labytnangi,66.6572,66.4183,260.57,88,6,3.61,RU,1680477120
220,port moresby,-9.4431,147.1797,298.52,86,99,1.62,PG,1680477121
221,beloha,-25.1667,45.05,294.19,91,47,3.96,MG,1680477121
222,kawalu,-7.3817,108.2082,294.97,96,100,0.42,ID,1680477121
223,erattupetta,9.7,76.7833,296.75,96,100,0.54,IN,1680477122
224,findlay,41.0442,-83.6499,281.05,66,40,6.17,US,1680477060
225,iracoubo,5.4802,-53.2011,298.07,83,99,5.11,GF,1680477122
226,lavrentiya,65.5833,-171.0,258.79,72,25,0.43,RU,1680477123
227,salalah,17.0151,54.0924,303.2,42,0,3.09,OM,1680477123
228,biak,-0.9131,122.8766,298.21,80,100,1.32,ID,1680477124
229,abbeville,50.1,1.8333,280.13,91,10,3.07,FR,1680477125
230,erenhot,43.6475,111.9767,271.56,54,100,6.2,CN,1680477125
231,yerbogachen,61.2767,108.0108,262.82,94,100,4.56,RU,1680477126
232,ibitinga,-21.7578,-48.8289,295.24,80,31,3.73,BR,1680477126
233,olavarria,-36.8927,-60.3225,291.47,48,100,2.53,AR,1680477126
234,tual,-5.6667,132.75,300.61,74,98,2.14,ID,1680477127
235,storforshei,66.4043,14.5233,265.03,72,20,1.54,NO,1680477127
236,ambagarh chauki,20.7833,80.7167,298.31,26,39,2.01,IN,1680477127
237,san carlos de bariloche,-41.1456,-71.3082,282.82,62,0,2.76,AR,1680477128
238,oeiras do para,-2.0031,-49.8544,296.45,97,75,1.64,BR,1680477129
239,kieta,-6.2167,155.6333,302.4,69,66,1.73,PG,1680477129
240,port hardy,50.6996,-127.4199,279.11,61,52,7.22,CA,1680477129
241,merauke,-8.4667,140.3333,300.18,82,100,2.47,ID,1680477130
242,babu,24.4167,111.5167,294.61,98,100,2.04,CN,1680477130
243,brownsville,25.9018,-97.4975,302.64,72,40,6.69,US,1680476908
244,kidal,18.4411,1.4078,298.79,8,36,2.73,ML,1680477131
245,ostrovnoy,68.0531,39.5131,264.67,86,100,2.31,RU,1680477131
246,hambantota,6.1241,81.1185,297.78,86,2,1.88,LK,1680477132
247,klaksvik,62.2266,-6.589,278.66,82,100,4.86,FO,1680477132
248,mana,5.6592,-53.7767,297.97,84,87,4.24,GF,1680477132
249,ustupo,9.1333,-77.9333,299.43,86,85,4.55,PA,1680476884
250,pangai,-19.8,-174.35,299.93,65,2,6.27,TO,1680477133
251,laguna,38.421,-121.4238,291.14,53,20,6.17,US,1680477133
252,coihaique,-45.5752,-72.0662,282.49,76,75,1.54,CL,1680477134
253,marienburg,54.0359,19.0266,276.4,76,7,5.34,PL,1680477134
254,tazovskiy,67.4667,78.7,260.01,97,88,4.26,RU,1680477135
255,touros,-5.1989,-35.4608,298.95,81,100,2.86,BR,1680476863
256,dubrovka,53.6907,33.5071,278.41,98,100,1.59,RU,1680477135
257,altay,47.8667,88.1167,261.54,48,0,5.21,CN,1680477136
258,apartado,7.883,-76.6259,299.1,90,98,2.79,CO,1680477136
259,hamilton,39.1834,-84.5333,286.48,55,0,4.63,US,1680477079
260,dudinka,69.4058,86.1778,261.93,95,100,4.91,RU,1680477137
261,pandan,14.0453,124.1694,299.67,82,100,3.39,PH,1680477137
262,onega,63.9061,38.1404,266.82,89,10,4.15,RU,1680477137
263,katima mulilo,-17.5,24.2667,294.33,74,96,1.91,NA,1680477138
264,byron bay,-28.65,153.6167,293.54,84,50,3.82,AU,1680477054
265,dukstas,55.5333,26.3333,270.86,80,52,5.71,LT,1680477138
266,bontang,0.1333,117.5,297.31,93,100,3.79,ID,1680477139
267,gizo,-8.103,156.8419,301.07,73,100,3.61,SB,1680477139
268,asau,46.4333,26.4,281.66,92,100,1.18,RO,1680477139
269,dakoro,14.5106,6.765,300.07,8,38,3.89,NE,1680477140
270,kasane,-17.8167,25.15,291.95,78,54,0.81,BW,1680477141
271,rawson,-43.3002,-65.1023,288.7,62,23,8.09,AR,1680477142
272,litovko,49.2361,135.1742,279.44,68,11,1.63,RU,1680477143
273,anju,39.6178,125.6647,286.05,41,43,1.38,KP,1680477143
274,dingle,10.9995,122.6711,298.06,81,94,2.62,PH,1680477144
275,ketchikan,55.3422,-131.6461,280.41,53,75,4.63,US,1680476917
276,debre tabor,11.85,38.0167,286.89,28,67,1.77,ET,1680477145
277,shache,38.4167,77.2406,286.32,22,100,2.32,CN,1680477145
278,dicabisagan,17.0818,122.4157,297.41,88,92,1.63,PH,1680477145
279,samarai,-10.6167,150.6667,301.84,75,86,3.83,PG,1680477146
280,hofn,64.2539,-15.2082,276.32,96,100,1.93,IS,1680477146
281,khash,28.2211,61.2158,287.07,19,0,8.23,IR,1680477146
282,birpur,26.5167,87.0167,293.31,65,0,2.62,IN,1680477147
283,mount gambier,-37.8333,140.7667,286.3,70,2,1.71,AU,1680477147
284,ribeira grande,38.5167,-28.7,286.36,68,72,0.89,PT,1680477147
285,nurota,40.5614,65.6886,285.05,75,100,1.6,UZ,1680477148
286,san cristobal,7.7669,-72.225,297.25,78,97,1.51,VE,1680477148
287,turtas,58.9417,69.1325,273.8,92,95,2.49,RU,1680477148
288,lerwick,60.1545,-1.1494,280.15,89,79,5.81,GB,1680477149
289,kyren,51.6828,102.1408,258.01,75,34,1.02,RU,1680477149
290,oktyabrskiy,54.4815,53.471,275.31,81,11,1.69,RU,1680477149
291,kitui,-1.367,38.0106,290.41,98,29,1.5,KE,1680477150
292,esil,51.9556,66.4042,273.81,64,0,5.19,KZ,1680477150
293,ilo,-17.6394,-71.3375,296.07,84,52,1.61,PE,1680477151
294,teya,60.3778,92.6267,265.89,92,100,3.41,RU,1680477151
295,lafiagi,8.8667,5.4167,304.99,38,81,2.88,NG,1680477151
296,pimenteiras,-6.2453,-41.4192,297.73,73,98,0.53,BR,1680477073
297,deputatskiy,69.3,139.9,254.75,83,92,1.15,RU,1680477152
298,englewood,39.6478,-104.9878,294.1,12,40,10.29,US,1680477152
299,comodoro rivadavia,-45.8667,-67.5,288.07,36,0,3.09,AR,1680477022
300,disna,55.568,28.1971,271.26,84,100,6.5,BY,1680477153
301,agua verde,22.9,-106.05,302.2,62,72,4.86,MX,1680477153
302,uvalde,29.3669,-99.767,306.1,32,0,0.0,US,1680477154
303,uncia,-18.467,-66.5685,284.91,59,68,3.58,BO,1680477154
304,qasigiannguit,68.8193,-51.1922,257.29,93,93,1.65,GL,1680477155
305,tasiilaq,65.6145,-37.6368,271.24,92,99,2.89,GL,1680477155
306,harlingen,26.1906,-97.6961,302.62,76,20,8.75,US,1680476951
307,skovorodino,53.9833,123.9167,270.81,97,100,0.67,RU,1680477155
308,osakarovka,50.565,72.5692,271.12,54,0,5.27,KZ,1680477156
309,decatur,39.8403,-88.9548,290.07,48,0,6.17,US,1680477156
310,belmonte,-15.8631,-38.8828,299.25,78,21,3.28,BR,1680477156
311,malakal,9.5334,31.6605,301.55,13,64,3.27,SS,1680477157
312,nuuk,64.1835,-51.7216,268.55,60,9,4.8,GL,1680477157
313,healdsburg,38.6105,-122.8692,289.87,55,75,7.2,US,1680477157
314,vila franca do campo,37.7167,-25.4333,286.38,60,29,6.69,PT,1680477157
315,ewa beach,21.3156,-158.0072,300.12,75,0,3.6,US,1680477158
316,aksu,41.1231,80.2644,281.01,16,0,0.54,CN,1680477158
317,ixtapa,20.7,-105.2,298.72,69,20,5.14,MX,1680477159
318,kalmunai,7.4167,81.8167,297.88,87,7,2.78,LK,1680477159
319,mahebourg,-20.4081,57.7,299.4,84,74,4.05,MU,1680477159
320,eureka,40.8021,-124.1637,282.49,80,100,2.68,US,1680477159
321,sabla,12.7525,4.7077,300.6,9,6,4.4,NG,1680477160
322,sinnamary,5.3833,-52.95,298.0,84,88,4.95,GF,1680477160
323,trairi,-3.2778,-39.2689,297.52,86,100,0.86,BR,1680476895
324,goderich,43.7501,-81.7165,277.54,64,40,5.03,CA,1680476887
325,buala,-8.145,159.5921,302.09,72,100,3.23,SB,1680477161
326,olinda,-8.0089,-34.8553,301.0,69,40,2.57,BR,1680477161
327,vostok,46.4856,135.8833,281.16,60,4,0.88,RU,1680477161
328,saint george,37.1041,-113.5841,295.34,20,0,4.47,US,1680476961
329,murmino,54.6036,40.0544,277.7,91,95,2.45,RU,1680477162
330,mount isa,-20.7333,139.5,297.02,33,53,3.09,AU,1680477162
331,paamiut,61.994,-49.6678,271.19,64,2,4.61,GL,1680477162
332,vredendal,-31.6683,18.5012,291.25,87,96,4.01,ZA,1680477163
333,dauphin,51.1494,-100.0502,269.45,96,100,7.81,CA,1680477163
334,matagami,49.7502,-77.6328,268.21,74,100,2.06,CA,1680477163
335,pachino,36.7186,15.0907,285.46,82,100,8.44,IT,1680477165
336,gat,31.61,34.7642,288.93,61,13,2.49,IL,1680477123
337,vardo,70.3705,31.1107,269.14,80,75,5.14,NO,1680477166
338,neftcala,39.3742,49.2472,281.41,84,61,2.85,AZ,1680477166
339,nueva loja,0.0847,-76.8828,295.38,91,76,0.85,EC,1680477167
340,bundaberg,-24.85,152.35,296.05,83,93,1.34,AU,1680477167
341,nykoping,58.753,17.0079,271.07,74,0,3.09,SE,1680477167
342,senanga,-16.1167,23.2667,291.84,90,100,1.88,ZM,1680477168
343,gandu,-13.7439,-39.4867,294.36,99,13,0.2,BR,1680477168
344,parker,32.7668,-97.8003,298.9,78,77,0.89,US,1680477169
345,bambous virieux,-20.3428,57.7575,299.38,85,78,3.75,MU,1680477169
346,grindavik,63.8424,-22.4338,277.41,87,100,7.2,IS,1680477170
347,lompoc,34.6391,-120.4579,293.03,71,4,5.36,US,1680477170
348,takoradi,4.8845,-1.7554,299.81,87,33,1.87,GH,1680477170
349,san francisco,37.7749,-122.4194,288.61,68,75,10.28,US,1680477119
350,natal,-5.795,-35.2094,299.51,89,0,1.03,BR,1680477171
351,saint-leu,-21.15,55.2833,298.61,86,99,1.52,RE,1680477171
352,baoding,38.8511,115.4903,285.73,37,100,4.19,CN,1680477063
353,imbituba,-28.24,-48.6703,292.83,71,1,0.93,BR,1680477172
354,masindi,1.6744,31.715,290.85,96,72,1.26,UG,1680477172
355,poronaysk,49.2167,143.1167,273.44,83,17,0.15,RU,1680477173
356,intipuca,13.1969,-88.0544,307.73,26,100,2.38,SV,1680477173
357,macaubas,-13.0194,-42.6986,300.62,34,91,1.6,BR,1680477173
358,tessalit,20.1986,1.0114,299.01,7,14,3.43,ML,1680477174
359,la serena,-29.9078,-71.2542,288.88,100,20,4.63,CL,1680477020
360,ekhabi,53.5102,142.9671,271.85,75,99,3.17,RU,1680477174
361,katsuura,35.1333,140.3,284.61,72,100,8.81,JP,1680477174
362,inhambane,-23.865,35.3833,296.68,70,52,2.84,MZ,1680477175
363,ponta delgada,37.7333,-25.6667,286.55,71,20,4.63,PT,1680477175
364,chapayevka,47.4711,36.3451,280.71,91,100,4.82,UA,1680477176
365,kjollefjord,70.9457,27.3465,272.18,81,91,6.07,NO,1680477176
366,luderitz,-26.6481,15.1594,288.96,86,4,5.46,NA,1680477176
367,agboville,5.928,-4.2132,298.38,90,84,0.76,CI,1680477177
368,ayagoz,47.9714,80.4392,266.51,60,9,4.31,KZ,1680477177
369,gorele,41.0308,39.0031,285.6,75,99,1.97,TR,1680477177
